ETC	AudioTools 	v10.19.1 Greg’s iPhone battery  41%	11/10/18, 6:39 PM	UMIK-1	297E0D2C-2342-481F-B5E1-E5B9DE515A74
Time	dB
0	95.3
1.36	105.1
2.73	101.8
4.09	90.5
5.45	86.5
6.81	88.1
8.18	91.9
9.54	87
10.9	82.6
12.27	87.7
13.63	91.5
14.99	90.3
16.35	90.5
17.72	89.1
19.08	91.8
20.44	85.4
21.81	86.1
23.17	83.2
24.53	85.5
25.89	86.3
27.26	89.7
28.62	87.1
29.98	84.9
31.35	86
32.71	84.8
34.07	85.1
35.43	84.6
36.8	83.8
38.16	84.3
39.52	88.1
40.89	85.3
42.25	84.6
43.61	87.3
44.97	86.6
46.34	83.8
47.7	83.5
49.06	80.2
50.43	86
51.79	83.5
53.15	78.2
54.51	78.1
55.88	76.9
57.24	80
58.6	81.7
59.97	76.9
61.33	80.3
62.69	84.3
64.05	78.3
65.42	83.2
66.78	83.4
68.14	83.8
69.51	80.8
70.87	82.3
72.23	82.9
73.59	85.5
74.96	81.6
76.32	79.9
77.68	78.9
79.05	79.2
80.41	80.4
81.77	82.4
83.13	78.2
84.5	76.2
85.86	80.6
87.22	79.4
88.59	80.6
89.95	78.8
91.31	78.4
92.67	80.3
94.04	78.9
95.4	75.9
96.76	76.4
98.13	78
99.49	75.5
100.85	75.9
102.21	76.1
103.58	73.2
104.94	74.2
106.3	71
107.67	72.9
109.03	73.4
110.39	76.4
111.75	75.8
113.12	76.8
114.48	74.5
115.84	76.9
117.21	73.5
118.57	71.8
119.93	74.5
121.29	72.7
122.66	75.6
124.02	69.6
125.38	69
126.75	78
128.11	73.9
129.47	75.2
130.83	71.3
132.2	71.5
133.56	72
134.92	74.1
136.29	70.2
137.65	74.3
139.01	74.5
140.37	73.8
141.74	71.7
143.1	71.5
144.46	74.7
145.83	71.3
147.19	72.9
148.55	73.1
149.91	71.6
151.28	67.9
152.64	69.2
154	70.8
155.37	70.2
156.73	70.1
158.09	66.4
159.45	71.1
160.82	68.3
162.18	69.7
163.54	67.3
164.91	72.4
166.27	69.3
167.63	65.3
168.99	65.9
170.36	68.8
171.72	66.1
173.08	65.5
174.45	67.5
175.81	65.5
177.17	66
178.53	68.4
179.9	66.8
181.26	65.1
182.62	65.5
183.99	68.7
185.35	66.9
186.71	66.4
188.07	66.9
189.44	66
190.8	65.8
192.16	65.1
193.53	70.3
194.89	63.8
196.25	62.7
197.61	66.4
198.98	64.6
200.34	60.3
201.7	63.5
203.07	60.1
204.43	66.4
205.79	65.1
207.16	64.7
208.52	64.6
209.88	64.1
211.24	64.9
212.61	64
213.97	58.2
215.33	62.2
216.7	62.2
218.06	64.4
219.42	62.8
220.78	62.3
222.15	62.5
223.51	63.6
224.87	64.2
226.24	62.8
227.6	63.3
228.96	58.1
230.32	60.1
231.69	63.9
233.05	63.2
234.41	61.1
235.78	58.2
237.14	58.7
238.5	58.5
239.86	61
241.23	60.2
242.59	59.5
243.95	64.6
245.32	61.5
246.68	59.4
248.04	57.6
249.4	59.4
250.77	55
252.13	58.4
253.49	58.4
254.86	60.7
256.22	53.5
257.58	55.9
258.94	55.7
260.31	54.5
261.67	56.2
263.03	53.6
264.4	54.7
265.76	58.6
267.12	57.1
268.48	58.8
269.85	52.9
271.21	56.7
272.57	55.2
273.94	55
275.3	56.8
276.66	57.4
278.02	52.8
279.39	58
280.75	54.5
282.11	56.8
283.48	53.3
284.84	54.9
286.2	57.2
287.56	54.9
288.93	52.5
290.29	54.1
291.65	53.7
293.02	54.1
294.38	53.3
295.74	52
297.1	51.7
298.47	54.6
299.83	54.3
301.19	50
302.56	51.1
303.92	51.2
305.28	55.7
306.64	49.5
308.01	54.5
309.37	54.7
310.73	54.3
312.1	49.2
313.46	50.2
314.82	50.2
316.18	50.2
317.55	49.2
318.91	48.6
320.27	48.3
321.64	50.6
323	50.8
324.36	51.6
325.72	45.5
327.09	51.6
328.45	50.2
329.81	49.2
331.18	50
332.54	48.2
333.9	48.6
335.26	48.6
336.63	48.7
337.99	48.8
339.35	51.1
340.72	47.2
342.08	51.2
343.44	49.8
344.8	51
346.17	48.1
347.53	46.8
348.89	48.5
350.26	47.8
351.62	45.9
352.98	49.3
354.34	42.6
355.71	44.5
357.07	43.6
358.43	44.2
359.8	45.1
361.16	42.5
362.52	47.1
363.88	47.7
365.25	48.5
366.61	43.5
367.97	45.6
369.34	43.5
370.7	41.9
372.06	46.9
373.42	42.5
374.79	40.7
376.15	45
377.51	47.8
378.88	46.3
380.24	41.2
381.6	44.6
382.96	44.3
384.33	49.1
385.69	48
387.05	47.1
388.42	44.8
389.78	42.7
391.14	44.1
392.5	43.6
393.87	42.7
395.23	39.7
396.59	44.3
397.96	44.9
399.32	44.9
400.68	45.7
402.04	50.5
403.41	43.9
404.77	40.5
406.13	40.7
407.5	41.8
408.86	42.8
410.22	41.9
411.58	43.3
412.95	45.5
414.31	42.6
415.67	43.1
417.04	46.2
418.4	38.2
419.76	38.7
421.12	43.6
422.49	44.2
423.85	41.5
425.21	44.4
426.58	42.2
427.94	41.4
429.3	40.8
430.66	41.6
432.03	42.5
433.39	38.9
434.75	44.5
436.12	46.6
437.48	40.7
438.84	39.4
440.2	36.2
441.57	39.5
