RTA	AudioTools 	v10.20.1 Greg’s iPhone battery 100%	4/8/19, 2:50 PM	Ew Low Range	297E0D2C-2342-481F-B5E1-E5B9DE515A74
Frequency	dB
25	40.3
32	49.1
40	49.1
50	42.4
63	51.1
80	57.8
100	61.1
125	61.5
160	64.7
200	67.1
250	68
315	67.3
400	67.4
500	65.8
630	64.9
800	67.4
1000	71.2
1250	71.6
1600	71.9
2000	75.1
2500	75.8
3150	76
4000	75.3
5000	73.1
6300	70.1
8000	67.5
10000	66.7
12500	71.7
16000	69.9
20000	68.2
overall dB	84.9 dB
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	Ew Low Range
latitude	41.236
longitude	-73.016
saved	4/8/19, 2:50 PM
