RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  59%	10/10/18, 6:11 PM	iAI2 Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	48
32	48.4
40	50.2
50	50.8
63	59.5
80	65.9
100	73.8
125	73.5
160	73.8
200	70.1
250	66.2
315	61.2
400	55.9
500	57.8
630	62.4
800	68.4
1000	70.7
1250	68.9
1600	67.9
2000	67.4
2500	65.5
3150	66
4000	60.8
5000	60
6300	57.2
8000	57.2
10000	51.5
12500	48.7
16000	45.3
20000	31.7
overall dB	78.1 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	iAI2 Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 6:11 PM
