RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  52%	10/10/18, 6:31 PM	Internal Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	39.5
32	41.7
40	45.9
50	48.3
63	53.8
80	62.8
100	72.6
125	74.5
160	70.8
200	72.9
250	70.2
315	67.9
400	63.3
500	63.9
630	64.1
800	60.3
1000	68.9
1250	66.9
1600	70
2000	67.3
2500	58.9
3150	63.5
4000	64.6
5000	62
6300	62.5
8000	66.1
10000	63.2
12500	60.2
16000	51
20000	40
overall dB	78.1 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	Internal Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 6:31 PM
