RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  48%	10/10/18, 6:43 PM	Internal Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	30.7
32	32.5
40	39.4
50	48.2
63	54
80	62.7
100	68.5
125	69.5
160	70
200	72.2
250	69.5
315	69.2
400	62
500	57.1
630	60.1
800	59.9
1000	62.3
1250	69.5
1600	69
2000	67.4
2500	63.4
3150	67.1
4000	65.5
5000	67
6300	67
8000	69.8
10000	68.9
12500	65.7
16000	57.8
20000	47.2
overall dB	79.1 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	Internal Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 6:43 PM
