SPL Graph	AudioTools 	v10.23.2 SH Acoustics' iPad (3) battery 100%	8/2/19, 12:59 PM	iAI2 Mic 5 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
1/3 Octave Logging

latitude	 0.000
longitude	 0.000
Seconds per point	1
Recording	Recording from notifications only
start	8/2/19, 12:58 PM
end	8/2/19, 12:59 PM
point	LZeq	LAeq	LCeq	1/3 Octave 25 Hz	1/3 Octave 32 Hz	1/3 Octave 40 Hz	1/3 Octave 50 Hz	1/3 Octave 63 Hz	1/3 Octave 80 Hz	1/3 Octave 100 Hz	1/3 Octave 125 Hz	1/3 Octave 160 Hz	1/3 Octave 200 Hz	1/3 Octave 250 Hz	1/3 Octave 315 Hz	1/3 Octave 400 Hz	1/3 Octave 500 Hz	1/3 Octave 630 Hz	1/3 Octave 800 Hz	1/3 Octave 1 kHz	1/3 Octave 1.25 kHz	1/3 Octave 1.6 kHz	1/3 Octave 2 kHz	1/3 Octave 2.5 kHz	1/3 Octave 3.1 kHz	1/3 Octave 4 kHz	1/3 Octave 5 kHz	1/3 Octave 6.3 kHz	1/3 Octave 8 kHz	1/3 Octave 10 kHz	1/3 Octave 12.5 kHz	1/3 Octave 16 kHz	1/3 Octave 20 kHz	L01	L10	L50	L90	L95	LMin	LMax
overall	63.7	38.1	52.1	46.0	42.3	46.4	41.7	36.4	34.8	36.7	43.3	42.1	40.9	31.0	34.1	32.8	27.5	26.5	25.5	24.6	24.3	22.1	20.7	21.8	18.7	15.9	16.0	14.5	11.2	12.3	10.8	9.7	10.2	76.0	62.7	55.5	52.9	52.2	49.3	83.7
" 12:58:40.0"	60.3	37.6	51.0	44.8	40.8	43.8	40.8	37.0	34.1	35.7	43.1	42.6	42.1	30.9	33.6	32.7	27.9	25.4	23.5	21.9	20.8	18.5	15.8	15.7	15.5	13.4	12.9	11.9	11.5	11.2	10.7	10.4	10.5	63.4	63.4	58.8	53.6	53.6	53.6	63.4
" 12:58:41.0"	54.6	36.4	50.5	42.3	38.1	45.6	39.1	34.5	34.4	37.4	43.1	41.7	39.9	30.4	33.8	32.4	25.1	23.4	21.4	19.1	16.6	15.3	12.1	10.1	8.3	7.8	7.8	7.5	7.7	7.8	7.5	7.6	7.1	56.3	56.3	54.3	51.2	51.2	51.2	56.3
" 12:58:42.0"	61.0	36.6	50.8	44.5	40.5	45.7	41.6	36.0	33.6	36.9	42.1	41.5	39.7	30.3	34.3	33.3	26.2	24.0	22.0	19.6	16.9	15.6	13.5	11.6	9.6	8.6	8.2	7.8	7.8	8.0	7.7	7.6	7.2	66.5	66.5	60.5	51.9	51.9	51.9	66.5
" 12:58:43.0"	57.1	36.6	51.2	46.6	42.2	44.8	42.9	35.5	35.6	36.6	43.1	41.7	40.6	30.4	33.9	32.5	27.1	23.8	21.3	19.4	16.7	14.6	11.7	9.7	8.2	7.7	7.8	7.6	7.8	7.8	7.6	7.6	7.2	60.8	60.8	55.8	53.7	53.7	53.7	60.8
" 12:58:44.0"	55.6	36.9	51.2	46.9	41.6	45.1	39.2	34.6	32.7	35.8	42.1	42.2	41.9	30.3	33.8	32.7	25.4	23.2	21.6	19.0	16.7	15.0	12.1	9.7	8.2	7.8	7.8	7.7	7.7	7.9	7.5	7.4	7.1	57.9	57.9	55.8	52.9	52.9	52.9	57.9
" 12:58:45.0"	73.6	36.9	53.1	46.6	46.5	48.9	44.1	36.0	33.7	36.2	44.0	41.3	41.3	30.2	33.5	32.6	26.2	23.7	21.4	19.5	17.2	15.0	12.2	9.9	8.0	7.6	7.9	7.8	7.7	7.9	7.7	7.7	7.2	79.7	79.7	65.6	49.3	49.3	49.3	79.7
" 12:58:46.0"	68.1	36.8	51.6	43.4	41.2	46.6	40.9	35.0	36.9	36.9	43.9	42.2	40.7	30.0	33.7	32.6	26.7	24.2	22.0	18.9	16.8	14.7	12.1	9.9	8.3	7.7	8.2	7.8	7.7	7.9	7.6	7.6	7.1	75.5	75.5	62.6	55.2	55.2	55.2	75.5
" 12:58:47.0"	60.4	37.4	52.0	45.1	40.0	45.3	42.6	35.7	37.8	35.2	43.9	42.3	40.7	29.6	34.2	32.4	25.9	24.7	21.1	21.8	20.2	19.7	22.1	18.0	13.7	11.9	9.8	9.6	8.7	8.3	7.5	7.6	7.1	62.6	62.6	54.4	53.5	53.5	53.5	62.6
" 12:58:48.0"	61.0	38.0	52.5	48.6	40.2	45.3	39.4	36.6	31.5	38.3	44.2	43.7	43.1	29.5	33.8	32.7	26.5	25.0	21.7	20.3	18.4	16.1	16.8	14.0	11.4	10.2	9.0	9.2	8.5	8.1	7.7	7.7	7.2	66.7	66.7	58.6	55.1	55.1	55.1	66.7
" 12:58:49.0"	55.8	37.0	50.9	47.0	40.4	44.2	39.5	34.5	34.9	36.9	42.5	42.2	42.0	30.6	33.4	32.3	26.6	24.3	22.4	19.0	16.5	15.3	12.1	10.3	8.5	8.2	7.9	7.7	7.7	7.9	7.5	7.6	7.2	59.0	59.0	54.6	53.8	53.8	53.8	59.0
" 12:58:50.0"	56.2	36.9	52.2	48.0	42.0	47.4	42.0	36.7	39.2	36.3	44.3	41.2	39.2	30.3	34.6	33.7	26.4	23.6	21.0	18.2	16.5	14.8	12.1	9.6	8.2	8.0	7.9	7.9	7.9	7.9	7.5	7.6	7.0	57.8	57.8	55.8	54.1	54.1	54.1	57.8
" 12:58:51.0"	54.9	37.1	51.6	46.6	42.6	45.9	40.3	35.9	36.5	37.8	43.0	42.9	42.0	30.8	33.4	32.5	26.3	23.7	21.1	18.9	16.9	15.1	12.6	10.3	8.3	7.7	7.8	7.8	7.7	7.8	7.6	7.7	7.2	57.2	57.2	54.3	53.0	53.0	53.0	57.2
" 12:58:52.0"	54.5	36.2	50.2	44.9	43.0	42.2	39.7	35.9	33.3	37.6	39.0	41.1	40.7	29.7	34.2	32.5	25.6	24.1	21.1	18.9	16.7	14.6	11.6	9.6	8.1	7.7	7.9	7.8	7.9	7.8	7.7	7.7	7.1	57.2	57.2	54.5	52.2	52.2	52.2	57.2
" 12:58:53.0"	53.7	35.9	50.3	45.9	42.7	44.8	38.1	36.4	34.1	38.6	42.0	40.5	39.2	30.5	32.4	32.0	26.7	24.2	23.3	19.8	17.9	15.4	12.9	10.5	8.8	8.3	8.3	7.9	7.8	7.9	7.6	7.9	7.0	54.9	54.9	53.5	51.3	51.3	51.3	54.9
" 12:58:54.0"	55.6	36.8	50.9	43.1	40.2	43.7	42.0	35.3	34.3	35.9	43.6	41.4	41.0	31.6	33.6	32.6	26.5	25.0	22.2	19.0	16.9	15.4	12.8	10.3	9.0	9.0	8.8	7.9	8.1	7.9	7.7	7.7	7.0	57.3	57.3	55.4	53.1	53.1	53.1	57.3
" 12:58:55.0"	54.7	36.6	50.7	42.9	39.7	44.2	43.7	34.0	32.5	35.5	42.5	41.9	40.9	30.8	33.6	32.0	25.6	24.7	22.0	19.0	16.9	15.1	11.9	9.7	8.3	7.6	8.0	7.6	7.8	8.0	7.5	7.7	7.1	57.2	57.2	53.3	52.5	52.5	52.5	57.2
" 12:58:56.0"	55.2	37.5	51.6	44.6	41.1	45.4	41.5	38.0	31.6	36.6	43.7	43.1	42.1	29.9	34.2	32.9	27.3	24.2	20.5	19.4	16.7	14.6	12.1	10.7	8.4	7.7	8.0	8.0	7.8	7.9	7.7	7.6	7.1	56.4	56.4	55.2	54.1	54.1	54.1	56.4
" 12:58:57.0"	56.7	36.8	51.3	46.2	45.0	42.4	40.1	36.2	32.4	37.2	44.6	41.7	40.3	28.9	33.7	32.4	26.4	23.6	21.8	19.5	16.9	14.6	12.0	9.7	8.4	7.9	8.0	7.6	7.8	7.8	7.6	7.7	7.0	59.1	59.1	57.0	53.4	53.4	53.4	59.1
